lat,lon,elevation
52.31907130,-8.50712600,221.00
52.31908850,-8.50714900,221.00
52.31918370,-8.50729110,221.00
52.31926180,-8.50743770,221.00
52.31930510,-8.50755920,221.00
52.31935080,-8.50776060,221.00
52.31935880,-8.50794440,221.00
52.31936670,-8.50812470,221.00
52.31939480,-8.50829290,221.00
52.31940260,-8.50840150,233.00
52.31936790,-8.50863700,233.00
52.31933740,-8.50884570,233.00
52.31931070,-8.50903770,233.00
52.31931180,-8.50942640,233.00
52.31932840,-8.50972470,233.00
52.31931460,-8.51013380,233.00
52.31930660,-8.51043260,240.00
52.31924400,-8.51085790,240.00
52.31912860,-8.51127850,240.00
52.31904990,-8.51179340,240.00
52.31903420,-8.51211960,240.00
52.31902890,-8.51250580,268.00
52.31890830,-8.51199940,240.00
52.31883040,-8.51204600,240.00
52.32168650,-8.51782590,296.00
52.32167480,-8.51778810,296.00
52.32166150,-8.51774520,296.00
52.32155230,-8.51739320,296.00
52.32138280,-8.51697110,296.00
52.32124390,-8.51665260,265.00
52.32098500,-8.51620780,265.00
52.32078000,-8.51581390,294.00
52.32063860,-8.51560100,294.00
52.32043620,-8.51544850,294.00
52.32030190,-8.51538370,294.00
52.32017260,-8.51527820,294.00
52.31996800,-8.51482330,294.00
52.31994270,-8.51472580,294.00
52.31989460,-8.51454000,268.00
52.31976870,-8.51399930,268.00
52.31969880,-8.51375630,268.00
52.31968470,-8.51370750,268.00
52.31963080,-8.51354750,268.00
52.31958920,-8.51342400,268.00
52.31956740,-8.51335940,268.00
52.31933350,-8.51307910,268.00
52.31911110,-8.51302600,268.00
52.31887870,-8.51294050,268.00
52.31878440,-8.51287230,268.00
52.31874270,-8.51278280,301.00
52.31873510,-8.51265180,301.00
52.31877540,-8.51240690,240.00
52.31880860,-8.51220540,240.00
52.32194900,-8.51818080,296.00
52.32205540,-8.51836190,296.00
52.32209510,-8.51852890,296.00
52.32217100,-8.51861890,296.00
52.32222480,-8.51878650,324.00
52.32230700,-8.51886750,324.00
52.32231640,-8.51896690,324.00
52.32235210,-8.51906260,324.00
52.32242500,-8.51913250,324.00
52.32245340,-8.51923340,324.00
52.32248490,-8.51928650,324.00
52.32256410,-8.51933600,324.00
52.32259310,-8.51945270,324.00
52.32267100,-8.51947510,324.00
52.32271120,-8.51952550,324.00
52.32272870,-8.51957400,324.00
52.32279330,-8.51958620,324.00
52.32282160,-8.51963790,324.00
52.32285440,-8.51966710,324.00
52.32288520,-8.51966420,324.00
52.32290460,-8.51963140,324.00
52.32290410,-8.51956280,324.00
52.32287000,-8.51944540,324.00
52.32280880,-8.51932190,324.00
52.32274660,-8.51910250,324.00
52.32273510,-8.51896520,324.00
52.32267450,-8.51885040,324.00
52.32265470,-8.51874870,296.00
52.32265280,-8.51869400,296.00
52.32266200,-8.51864710,296.00
52.32268130,-8.51863830,296.00
52.32270070,-8.51865370,296.00
52.32271630,-8.51867600,296.00
52.32275540,-8.51872980,296.00
52.32284070,-8.51890740,324.00
52.32290440,-8.51907540,324.00
52.32310170,-8.51931320,268.00
52.32327720,-8.51955750,268.00
52.32343530,-8.51990880,268.00
52.32364930,-8.52021470,268.00
52.32370110,-8.52030650,268.00
52.32378110,-8.52050570,268.00
52.32391320,-8.52071410,268.00
52.32411750,-8.52092150,283.00
52.32419610,-8.52112200,283.00
52.32426400,-8.52143990,283.00
52.32435170,-8.52168600,283.00
52.32440360,-8.52184880,283.00
52.32444150,-8.52199210,283.00
52.32445290,-8.52216980,283.00
52.32444550,-8.52239160,283.00
52.32443850,-8.52258140,283.00
52.32450050,-8.52271340,283.00
52.32457850,-8.52282180,283.00
52.32465740,-8.52298780,299.00
52.32467620,-8.52308470,299.00
52.32469790,-8.52321360,299.00
52.32470790,-8.52329500,299.00
52.32472630,-8.52339240,299.00
52.32474840,-8.52348870,299.00
52.32477170,-8.52357630,299.00
52.32480350,-8.52369500,299.00
52.32482630,-8.52373560,299.00
52.32486370,-8.52380790,299.00
52.32494160,-8.52399190,299.00
52.32497060,-8.52411260,299.00
52.32499080,-8.52429010,299.00
52.32502570,-8.52445340,246.00
52.32503310,-8.52464380,246.00
52.32504800,-8.52484120,246.00
52.32506070,-8.52499230,246.00
52.32510650,-8.52517300,253.00
52.32519230,-8.52536640,253.00
52.32525560,-8.52551290,253.00
52.32530750,-8.52563360,253.00
52.32535790,-8.52570960,253.00
52.32542130,-8.52585870,253.00
52.32545170,-8.52598690,253.00
52.32548100,-8.52621970,253.00
52.32548840,-8.52644510,253.00
52.32548310,-8.52678590,253.00
52.32545490,-8.52700180,253.00
52.32539270,-8.52719970,274.00
52.32531880,-8.52733680,274.00
52.32514540,-8.52754300,274.00
52.32497490,-8.52762610,313.00
52.32480120,-8.52769880,313.00
52.32472140,-8.52785330,313.00
52.32465020,-8.52800490,313.00
52.32466220,-8.52802350,313.00
52.32468320,-8.52804180,313.00
52.32472970,-8.52811200,313.00
52.32490830,-8.52823090,313.00
52.32514540,-8.52848120,274.00
52.32539800,-8.52893420,274.00
52.32565540,-8.52950500,296.00
52.32577610,-8.52977610,296.00
52.32595970,-8.53001640,296.00
52.32605410,-8.53017090,296.00
52.32636190,-8.53073110,296.00
52.32663110,-8.53137260,317.00
52.32685150,-8.53192190,317.00
52.32702980,-8.53248840,317.00
52.32713470,-8.53284030,269.00
52.32738650,-8.53378440,286.00
52.32762040,-8.53423540,286.00
52.32735040,-8.53397040,286.00
52.32704440,-8.53363660,327.00
52.32694840,-8.53338130,327.00
52.32678640,-8.53295920,317.00
52.32659440,-8.53261560,317.00
52.32637840,-8.53214430,317.00
52.32610240,-8.53184980,317.00
52.32582040,-8.53161420,317.00
52.32547240,-8.53130000,317.00
52.32526240,-8.53116260,296.00
52.32496910,-8.53091280,333.00
52.32491780,-8.53095370,333.00
52.32493840,-8.53113380,333.00
52.32502900,-8.53130310,317.00
52.32527620,-8.53198610,317.00
52.32519480,-8.53187020,317.00
52.32510840,-8.53179040,317.00
52.32497510,-8.53168990,371.00
52.32490660,-8.53148940,371.00
52.32441090,-8.53076360,333.00
52.32427480,-8.53058930,333.00
52.32414730,-8.53037360,333.00
52.32389150,-8.53005970,333.00
52.32373710,-8.52988440,333.00
52.32354320,-8.52973140,333.00
52.32333230,-8.52944800,333.00
52.32306900,-8.52920300,333.00
52.32279230,-8.52919990,390.00
52.32258430,-8.52923960,390.00
52.32250680,-8.52923310,390.00
52.32248170,-8.52914670,368.00
52.32270550,-8.52883650,368.00
52.32279990,-8.52839280,368.00
52.32285260,-8.52799870,368.00
52.32303250,-8.52759300,313.00
52.32307690,-8.52735450,313.00
52.32320970,-8.52699630,312.00
52.32326590,-8.52677810,312.00
52.32326900,-8.52658490,312.00
52.32338210,-8.52602740,312.00
52.32341630,-8.52552460,312.00
52.32340930,-8.52474050,299.00
52.32333120,-8.52392100,299.00
52.32328140,-8.52371440,299.00
52.32323710,-8.52337350,299.00
52.32318830,-8.52308810,299.00
52.32303130,-8.52261290,283.00
52.32287340,-8.52194200,363.00
52.32256210,-8.52113230,363.00
52.32230590,-8.52066230,324.00
52.32223950,-8.52048220,324.00
52.32210000,-8.52029200,324.00
52.32188330,-8.51982870,324.00
52.32173880,-8.51951140,324.00
52.32169160,-8.51925470,324.00
52.32166820,-8.51912790,324.00
52.32154780,-8.51879840,324.00
52.32149970,-8.51846120,296.00
52.32145730,-8.51826250,296.00
52.32144110,-8.51812360,296.00
52.32137690,-8.51802140,296.00
52.32135650,-8.51790630,296.00
52.32133970,-8.51786050,296.00
52.32128070,-8.51780860,296.00
52.32124750,-8.51773040,296.00
52.32120810,-8.51763680,296.00
52.32116450,-8.51759420,296.00
52.32109350,-8.51752670,296.00
52.32104820,-8.51737430,296.00
52.32101420,-8.51725650,296.00
52.32096280,-8.51716610,296.00
52.32091170,-8.51711740,296.00
52.32085430,-8.51708430,296.00
52.32078960,-8.51706320,334.00
52.32074070,-8.51703350,334.00
52.32071420,-8.51701330,334.00
52.32070150,-8.51697050,334.00
52.32071590,-8.51692970,334.00
52.32073660,-8.51692180,334.00
52.32079340,-8.51690590,334.00
52.32088360,-8.51687060,296.00
52.32091050,-8.51681280,296.00
52.32088940,-8.51677730,296.00
52.32083180,-8.51676770,334.00
52.32076050,-8.51675610,334.00
52.32063620,-8.51672180,334.00
52.32057780,-8.51665130,294.00
52.32053640,-8.51660350,294.00
52.32049890,-8.51655510,294.00
52.32046000,-8.51650710,294.00
